req_id,dora_article,requirement,domain,kyverno,gatekeeper,note
REQ-012,5(2)(a),Maintain ICT asset inventory,asset-management,DIRECT,DIRECT,
REQ-025,5(2)(d),Maintain documentation of ICT systems,documentation,DIRECT,DIRECT,
REQ-013,6(1)(b),Identify and classify ICT assets by criticality,asset-management,DIRECT,DIRECT,
REQ-027,6(2),Map ICT asset dependencies and interconnections,asset-management,ASSERTED,ASSERTED,checks dora.io/dependencies annotation; contents are unvalidated free text
REQ-016,7(1),Establish ICT risk assessment process,risk-management,ABSENT,ABSENT,classified not-automatable in the requirements register
REQ-017,8(1),Identify and document all ICT assets supporting business functions,asset-management,ASSERTED,ASSERTED,checks asset-metadata annotations; values are unvalidated free text
REQ-001,9(2),Ensure confidentiality of data at rest,encryption,DIRECT,DIRECT,
REQ-002,9(2),Ensure integrity and confidentiality of data in transit,encryption,DIRECT,DIRECT,
REQ-009,9(2),Ensure data integrity through immutable container images,integrity,DIRECT,DIRECT,
REQ-008,9(3)(a),Implement network segmentation controls,network-security,ABSENT,ABSENT,
REQ-028,9(3)(b),Implement logical segregation of ICT assets,resource-isolation,DIRECT,DIRECT,
REQ-010,9(4)(a),Restrict container runtime privileges - non-root execution,access-control,DIRECT,DIRECT,
REQ-011,9(4)(a),Prevent container breakout - host isolation,access-control,DIRECT,DIRECT,
REQ-018,9(4)(a),Enforce security hardening on container filesystems,access-control,DIRECT,DIRECT,
REQ-003,9(4)(b),Implement least-privilege access controls,access-control,DIRECT,DIRECT,
REQ-004,9(4)(b),Prevent privilege escalation through RBAC bindings,access-control,DIRECT,DIRECT,
REQ-026,9(4)(c),Implement authentication and session management controls,access-control,ASSERTED,ASSERTED,checks dora.io/session-timeout-configured annotation; cannot verify ingress auth timeout
REQ-019,9(4)(c),Restrict access to ICT resources to authorised service accounts only,access-control,DIRECT,DIRECT,
REQ-023,9(4)(d),Implement cryptographic key management controls,encryption,DIRECT,DIRECT,
REQ-005,10(1),Enable kernel-level security auditing on containers,detection,ASSERTED,ASSERTED,checks dora.io/kernel-audit-enabled annotation; cannot verify AppArmor/seccomp audit profiles are active
REQ-020,10(3),Implement application-level log collection and forwarding,logging,ASSERTED,ASSERTED,checks dora.io/logging-configured annotation; cannot verify a log collection agent is running
REQ-006,11(1),Ensure ICT system resilience through resource governance,resilience,DIRECT,DIRECT,
REQ-007,11(1),Ensure high availability of critical ICT services,resilience,DIRECT,DIRECT,
REQ-024,11(5),Implement graceful degradation capabilities,resilience,ASSERTED,ASSERTED,checks dora.io/pdb-configured annotation; does not verify a PodDisruptionBudget object exists
REQ-021,11(3),Test ICT resilience through scenario-based testing,resilience,ABSENT,ABSENT,classified not-automatable in the requirements register
REQ-014,12(1),Establish backup and restoration procedures,resilience,ABSENT,ABSENT,classified not-automatable in the requirements register
REQ-015,13(1),Implement ICT change management processes,change-management,ASSERTED,ASSERTED,checks change-management annotations; cannot verify a change ticket exists or was approved
REQ-029,14(1)-(3),Establish crisis communication plans and designate a communication lea,communication,ABSENT,ABSENT,classified not-automatable in the requirements register
REQ-022,15(1),Verify container image provenance and integrity,supply-chain,ASSERTED,ASSERTED,checks dora.io/image-signature-verified annotation; no cryptographic verification performed | Kyverno: native verifyImages rule type supports Cosign and Notary signature verification. Gatekeeper: no equivalent; requires an external data provider via the externaldata API.
REQ-023b,15(1),Restrict container images to pre-approved registries,supply-chain,DIRECT,DIRECT,
